2023-10-19 23:18:33,068 - INFO - Frame 32: Num_Contours=132, Percentage_outliers=3.03, Concentration=25.26, Pancake_no=7, Brash_no=9, Frazil_no=68, Pancake_area=17.58, Brash_area=13.15, Frazil_area=30.17, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,075 - INFO - Frame 33: Num_Contours=131, Percentage_outliers=2.29, Concentration=23.25, Pancake_no=7, Brash_no=11, Frazil_no=66, Pancake_area=16.74, Brash_area=16.14, Frazil_area=25.62, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,081 - INFO - Frame 34: Num_Contours=127, Percentage_outliers=2.36, Concentration=23.75, Pancake_no=7, Brash_no=12, Frazil_no=64, Pancake_area=17.08, Brash_area=16.99, Frazil_area=25.43, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,087 - INFO - Frame 35: Num_Contours=127, Percentage_outliers=2.36, Concentration=24.23, Pancake_no=7, Brash_no=12, Frazil_no=67, Pancake_area=17.16, Brash_area=17.13, Frazil_area=26.96, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,092 - INFO - Frame 36: Num_Contours=132, Percentage_outliers=3.03, Concentration=19.21, Pancake_no=2, Brash_no=14, Frazil_no=63, Pancake_area=4.23, Brash_area=19.26, Frazil_area=24.19, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,099 - INFO - Frame 37: Num_Contours=113, Percentage_outliers=3.54, Concentration=15.02, Pancake_no=1, Brash_no=14, Frazil_no=46, Pancake_area=2.09, Brash_area=17.75, Frazil_area=16.32, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,105 - INFO - Frame 38: Num_Contours=105, Percentage_outliers=3.81, Concentration=13.95, Pancake_no=1, Brash_no=13, Frazil_no=40, Pancake_area=2.05, Brash_area=16.27, Frazil_area=15.15, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,110 - INFO - Frame 39: Num_Contours=94, Percentage_outliers=3.19, Concentration=13.05, Pancake_no=2, Brash_no=9, Frazil_no=35, Pancake_area=4.14, Brash_area=11.56, Frazil_area=15.78, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,116 - INFO - Frame 40: Num_Contours=96, Percentage_outliers=3.12, Concentration=13.59, Pancake_no=2, Brash_no=11, Frazil_no=40, Pancake_area=4.14, Brash_area=13.88, Frazil_area=15.45, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,122 - INFO - Frame 41: Num_Contours=132, Percentage_outliers=2.27, Concentration=21.05, Pancake_no=2, Brash_no=16, Frazil_no=67, Pancake_area=4.41, Brash_area=23.25, Frazil_area=25.49, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,129 - INFO - Frame 42: Num_Contours=137, Percentage_outliers=2.19, Concentration=26.78, Pancake_no=7, Brash_no=14, Frazil_no=73, Pancake_area=16.37, Brash_area=20.63, Frazil_area=30.46, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,135 - INFO - Frame 43: Num_Contours=126, Percentage_outliers=2.38, Concentration=17.04, Pancake_no=1, Brash_no=18, Frazil_no=48, Pancake_area=2.1, Brash_area=23.79, Frazil_area=15.55, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,142 - INFO - Frame 44: Num_Contours=104, Percentage_outliers=1.92, Concentration=15.16, Pancake_no=2, Brash_no=13, Frazil_no=45, Pancake_area=4.05, Brash_area=17.16, Frazil_area=16.43, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,148 - INFO - Frame 45: Num_Contours=108, Percentage_outliers=1.85, Concentration=14.94, Pancake_no=1, Brash_no=13, Frazil_no=44, Pancake_area=2.02, Brash_area=17.93, Frazil_area=16.92, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,153 - INFO - Frame 46: Num_Contours=106, Percentage_outliers=1.89, Concentration=15.32, Pancake_no=1, Brash_no=14, Frazil_no=49, Pancake_area=2.04, Brash_area=18.97, Frazil_area=17.42, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,159 - INFO - Frame 47: Num_Contours=117, Percentage_outliers=1.71, Concentration=16.54, Pancake_no=1, Brash_no=17, Frazil_no=50, Pancake_area=2.07, Brash_area=22.52, Frazil_area=16.85, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,165 - INFO - Frame 48: Num_Contours=141, Percentage_outliers=1.42, Concentration=26.43, Pancake_no=5, Brash_no=20, Frazil_no=68, Pancake_area=11.08, Brash_area=29.1, Frazil_area=26.71, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,172 - INFO - Frame 49: Num_Contours=131, Percentage_outliers=0.76, Concentration=29.53, Pancake_no=8, Brash_no=19, Frazil_no=68, Pancake_area=19.78, Brash_area=28.22, Frazil_area=28.02, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,178 - INFO - Frame 50: Num_Contours=131, Percentage_outliers=2.29, Concentration=29.62, Pancake_no=9, Brash_no=14, Frazil_no=71, Pancake_area=23.25, Brash_area=20.35, Frazil_area=29.73, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,184 - INFO - Frame 51: Num_Contours=130, Percentage_outliers=1.54, Concentration=29.65, Pancake_no=9, Brash_no=15, Frazil_no=69, Pancake_area=24.2, Brash_area=21.68, Frazil_area=28.94, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,190 - INFO - Frame 52: Num_Contours=129, Percentage_outliers=2.33, Concentration=29.28, Pancake_no=8, Brash_no=15, Frazil_no=66, Pancake_area=22.87, Brash_area=21.64, Frazil_area=25.84, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,196 - INFO - Frame 53: Num_Contours=131, Percentage_outliers=0.76, Concentration=30.93, Pancake_no=8, Brash_no=17, Frazil_no=63, Pancake_area=26.2, Brash_area=26.01, Frazil_area=24.04, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,202 - INFO - Frame 54: Num_Contours=124, Percentage_outliers=0.81, Concentration=31.81, Pancake_no=11, Brash_no=11, Frazil_no=66, Pancake_area=34.87, Brash_area=17.01, Frazil_area=25.97, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,208 - INFO - Frame 55: Num_Contours=131, Percentage_outliers=2.29, Concentration=29.41, Pancake_no=8, Brash_no=15, Frazil_no=63, Pancake_area=23.34, Brash_area=22.3, Frazil_area=25.2, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,214 - INFO - Frame 56: Num_Contours=121, Percentage_outliers=0.83, Concentration=31.33, Pancake_no=10, Brash_no=12, Frazil_no=63, Pancake_area=33.53, Brash_area=18.41, Frazil_area=23.52, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,220 - INFO - Frame 57: Num_Contours=126, Percentage_outliers=1.59, Concentration=30.84, Pancake_no=9, Brash_no=16, Frazil_no=61, Pancake_area=27.46, Brash_area=24.39, Frazil_area=23.68, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,226 - INFO - Frame 58: Num_Contours=123, Percentage_outliers=1.63, Concentration=31.32, Pancake_no=9, Brash_no=15, Frazil_no=61, Pancake_area=28.66, Brash_area=23.01, Frazil_area=24.53, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
